attendance,assignment_avg,quiz_avg,engagement,previous_score,risk
78,55,74,89,44,Low
91,79,99,56,54,Low
68,54,33,79,65,Medium
54,53,58,67,80,Medium
82,42,100,96,44,Low
47,89,59,47,97,Low
100,36,25,88,50,Medium
60,86,64,96,42,Medium
78,65,88,100,48,Low
97,74,46,59,63,Low
58,49,84,64,97,Low
62,94,88,81,81,Low
50,37,96,77,56,Medium
50,45,35,86,58,Medium
63,43,38,75,57,Medium
92,44,84,59,64,Low
75,95,54,59,37,Low
79,61,59,96,45,Low
63,92,61,52,65,Medium
42,80,29,25,59,Medium
61,54,50,38,47,Medium
92,87,86,99,31,Low
41,92,28,59,78,Medium
63,91,66,78,33,Medium
83,51,42,78,36,Medium
69,87,64,67,68,Low
77,87,96,60,42,Low
41,78,63,32,60,Medium
99,81,38,64,100,Low
60,71,56,72,92,Low
72,99,75,61,85,Low
51,44,62,82,71,Medium
97,83,47,46,90,Low
61,89,87,57,71,Low
100,37,39,79,85,Low
83,82,49,26,65,Low
64,89,41,24,97,Medium
88,34,90,64,36,Medium
66,97,77,77,83,Low
98,35,75,50,30,Low
81,76,63,42,73,Medium
67,84,75,61,74,Low
99,69,94,29,76,Low
55,81,30,51,42,Medium
54,45,91,72,51,Low
86,42,31,49,50,Medium
90,59,75,58,38,Low
83,48,96,50,55,Low
94,46,66,21,38,Medium
91,92,88,97,44,Low
96,48,39,96,39,Low
42,87,53,31,71,Medium
76,84,57,58,53,Medium
90,91,51,85,78,Low
46,52,60,32,55,Medium
60,38,53,65,66,Medium
48,41,62,46,97,Medium
78,30,81,36,79,Medium
57,87,51,79,53,Low
43,30,79,83,48,Medium
64,63,57,54,89,Low
99,77,92,89,68,Low
53,30,90,49,47,Medium
89,45,34,90,48,Medium
97,90,29,93,65,Low
48,93,98,82,84,Low
65,92,62,47,98,Low
92,98,37,79,76,Low
41,51,55,98,78,Medium
59,96,71,56,62,Low
67,55,76,41,50,Medium
86,45,80,87,51,Low
99,80,39,39,77,Low
46,86,53,87,66,Low
83,58,32,83,44,Medium
100,98,29,36,64,Low
47,76,53,31,100,Low
86,91,71,41,61,Low
74,98,92,36,40,Low
53,45,100,29,39,Medium
56,77,69,84,86,Low
75,68,26,41,54,Medium
89,62,51,69,31,Low
79,52,60,33,93,Medium
43,39,60,83,64,Medium
41,98,50,66,36,Medium
45,63,67,48,47,Medium
93,81,51,95,96,Low
81,39,93,55,71,Low
43,48,44,71,68,Medium
93,87,35,95,70,Low
68,30,98,26,53,Medium
57,98,62,48,89,Low
65,33,30,30,75,Medium
83,45,96,52,48,Medium
73,53,47,25,97,Medium
49,31,71,98,71,Medium
75,61,70,51,61,Medium
53,53,36,70,68,Medium
70,41,37,94,65,Medium
87,79,86,77,65,Low
54,64,84,45,32,Medium
47,62,67,65,37,Medium
53,62,100,48,99,Low
62,90,92,23,70,Low
99,80,29,100,97,Low
96,72,61,32,42,Medium
79,41,96,58,78,Low
60,96,55,34,89,Low
55,94,33,48,31,Medium
84,62,75,48,89,Low
57,69,53,94,34,Medium
86,72,64,51,73,Low
92,73,65,21,56,Low
63,58,35,66,61,Medium
65,42,47,97,50,Medium
64,41,25,41,37,Medium
99,75,70,94,79,Low
99,31,45,46,96,Low
99,64,60,86,73,Low
84,37,78,100,87,Low
80,55,81,75,32,Low
68,63,25,40,99,Medium
54,36,87,66,31,Medium
84,97,78,99,73,Low
40,87,79,78,31,Medium
64,58,64,25,64,Medium
46,65,39,38,59,Medium
48,50,45,76,37,Medium
63,65,71,88,51,Medium
40,39,97,22,73,Medium
83,53,77,20,87,Medium
47,93,33,77,65,Medium
63,78,98,57,98,Low
50,65,76,34,60,Medium
90,53,81,53,76,Low
56,52,50,80,84,Medium
47,91,65,54,91,Low
74,66,59,83,59,Low
74,41,87,44,84,Medium
72,84,49,43,45,Low
98,42,99,31,41,Medium
44,52,62,37,46,High
81,59,26,34,45,Medium
78,46,31,99,41,Low
97,91,58,46,37,Low
80,42,41,91,32,Medium
67,88,67,79,45,Low
46,48,83,65,59,Medium
48,78,75,36,52,Medium
47,41,78,72,34,Medium
51,90,48,27,94,Medium
73,48,49,98,59,Low
72,38,95,46,50,Medium
87,100,76,65,99,Low
94,57,94,69,51,Low
62,81,57,90,61,Medium
63,45,73,22,62,Medium
76,98,53,83,45,Low
74,41,87,63,67,Medium
83,54,46,72,43,Medium
79,81,50,43,65,Low
61,82,52,79,52,Medium
66,52,73,22,95,Medium
74,45,95,39,31,Medium
40,86,73,65,94,Low
74,68,44,34,96,Low
76,82,87,44,81,Low
86,71,85,97,91,Low
53,87,73,90,52,Low
42,68,95,36,55,Medium
40,43,25,28,97,Medium
44,34,37,57,84,Medium
65,64,75,67,35,Medium
94,47,80,79,64,Low
53,38,86,82,51,Low
78,87,56,21,72,Low
66,46,54,91,44,Medium
48,36,53,30,89,Medium
54,75,73,83,41,Low
54,42,69,96,78,Medium
65,69,54,100,71,Low
81,71,40,91,67,Low
99,38,64,40,74,Low
52,79,43,37,64,Medium
90,56,42,83,59,Medium
71,95,25,57,59,Medium
78,34,71,51,35,Medium
88,58,90,30,96,Low
91,66,62,64,36,Medium
100,67,75,52,81,Low
71,37,87,60,43,Low
43,94,28,27,44,High
69,46,25,30,50,Medium
76,100,32,70,64,Low
62,74,53,60,95,Medium
78,33,79,36,31,Medium
84,65,27,95,64,Low
54,99,56,65,49,Medium
82,60,34,51,39,Medium
68,48,98,98,54,Low
75,90,58,99,95,Low
52,83,79,73,54,Medium
71,68,56,39,83,Low
46,48,74,52,62,Medium
98,68,31,93,65,Low
90,96,32,59,43,Low
61,74,89,51,94,Low
67,42,81,21,83,Medium
41,87,91,52,81,Medium
81,49,83,96,32,Low
84,90,96,49,70,Low
96,68,78,52,35,Low
92,30,91,96,54,Low
45,32,75,45,42,Medium
67,91,32,41,37,Medium
67,92,58,85,50,Low
83,54,59,57,97,Low
83,85,56,65,54,Low
59,62,70,34,97,Low
69,67,40,63,74,Medium
50,35,92,68,89,Medium
97,87,61,94,41,Low
94,73,78,80,61,Low
67,74,38,86,42,Medium
64,61,79,25,60,Medium
78,74,72,28,49,Low
72,90,31,25,47,Medium
40,76,98,92,89,Low
96,50,31,51,92,Medium
66,65,57,60,35,Medium
96,48,47,95,61,Low
91,49,43,27,72,Low
52,86,43,91,31,Medium
80,47,60,69,89,Low
42,76,53,81,52,Low
78,78,84,81,60,Low
45,43,26,26,34,High
47,44,25,94,63,Medium
66,60,71,99,39,Medium
48,30,93,23,31,High
76,83,44,25,40,Medium
72,32,35,77,79,Medium
90,45,26,41,60,Medium
81,86,91,45,85,Low
83,41,36,22,38,Medium
63,45,44,60,50,Medium
54,53,29,79,57,Medium
98,57,61,33,91,Medium
93,37,62,94,36,Low
71,65,33,31,45,Medium
71,37,77,31,33,Medium
63,87,68,32,33,Medium
80,89,48,44,69,Medium
91,79,98,64,46,Low
88,57,54,38,81,Low
88,70,83,74,81,Low
97,93,38,64,65,Low
91,56,33,27,67,Medium
51,92,64,72,79,Low
78,46,90,74,92,Low
41,62,49,51,92,Medium
42,58,97,70,91,Low
88,42,46,63,36,Medium
76,75,28,89,56,Low
88,64,50,37,43,Medium
95,35,82,41,100,Low
56,98,53,56,34,Low
98,76,61,75,84,Low
88,54,99,78,31,Low
41,95,94,22,91,Low
41,39,42,47,50,High
67,85,66,93,50,Low
93,59,65,54,39,Low
62,34,62,80,87,Medium
76,62,58,73,68,Low
71,94,41,82,34,Medium
72,47,61,98,94,Low
40,78,49,26,42,Medium
58,40,100,95,82,Low
41,55,51,68,74,Medium
92,92,81,50,61,Low
83,88,55,77,65,Low
65,56,30,80,89,Medium
71,78,64,43,40,Medium
45,62,36,39,92,Medium
71,30,77,56,50,Low
94,50,95,23,81,Low
43,84,34,39,84,Medium
94,35,69,79,55,Low
50,98,41,43,97,Low
95,34,50,69,63,Medium
98,32,86,68,81,Low
56,82,70,70,81,Low
77,52,88,55,58,Medium
63,82,26,85,67,Medium
44,66,78,98,71,Low
91,46,89,53,50,Low
73,30,75,55,71,Low
45,80,77,25,42,Medium
61,74,60,58,93,Low
50,33,50,61,46,Medium
87,91,53,77,38,Low
55,94,45,31,70,Medium
72,61,35,22,30,Medium
48,63,64,37,31,Medium
99,68,35,59,89,Low
98,55,60,40,77,Low
45,63,83,34,58,Medium
55,83,63,45,39,Medium
68,32,78,27,87,Medium
42,79,79,61,89,Low
59,41,48,63,50,Medium
99,94,46,33,57,Low
98,83,93,97,63,Low
75,34,80,21,37,Medium
